Participant ID,/a/ Start,/a/ End,/i/ Start,/i/ End,blue Start,blue End,hard Start,hard End,away Start,away End,egg Start,egg End,lemon Start,lemon End,peter Start,peter End
BL01,18.131,21.473,22.434,26.615,0.941,3.782,4.734,6.138,7.051,8.584,9.566,11.653,12.636,14.56,15.535,17.513
BL02,21.349,25.748,27.705,31.803,0.987,3.67,4.643,6.614,7.591,9.394,10.365,12.98,13.949,15.569,17.544,19.655
BL03,22.066,26.039,27.933,32.088,1.981,4.68,5.664,7.07,8.058,9.839,10.817,12.647,13.612,15.979,16.955,19.172
BL04,17.665,20.271,21.269,24.041,1.933,4.644,5.067,6.537,7.111,9.065,9.413,11.67,12.547,14.502,14.865,16.767
BL05,18.708,21.911,22.747,25.624,0,2.909,3.76,5.612,6.431,8.202,9.022,10.889,11.709,14.815,15.651,17.873
BL06,17.725,20.678,21.493,23.627,0,2.281,3.081,4.566,5.381,7.192,8.096,10.145,11.019,13.72,14.55,16.984
BL07,16.86,20.012,20.866,23.894,0,2.097,2.981,4.678,5.562,7.589,8.473,10.199,11.113,13.14,14,15.961
BL08,15.357,17.982,18.856,22.118,0,1.927,2.829,4.316,5.19,6.677,7.565,9.233,10.107,11.941,12.829,14.455
BL09,0.656,5.247,14.471,19.418,50.155,52.3,53.323,54.928,56.572,59.242,60.63,63.219,64.081,66.482,67.195,70.418
BL10,0.479,3.375,4.93,7.825,21.845,24.261,25.041,26.635,26.995,28.829,29.44,31.675,32.425,34.891,35.561,37.456
BL11,0.684,5.425,6.909,11.871,40.055,42.238,42.734,44.145,44.804,46.46,46.94,48.889,49.369,51.187,51.578,53.421
BL12,9.054,13.369,13.661,18.671,40.955,45.163,45.902,48.452,49.446,52.06,52.48,54.903,55.0935,57.414,57.732,61.392
BL13,14.484,19.098,19.369,23.938,0.267,2.891,3.071,4.896,5.137,6.917,6.991,9.133,9.313,11.62,11.921,14.259
BL14,11.704,13.982,14.166,16.301,0.017,2.09,2.223,3.373,3.567,5.754,5.825,7.58,7.641,9.581,9.662,11.54
BL16,12.278,15.279,15.706,18.706,0.117,2.469,2.61,4.447,4.225,6.05,6.159,8.094,8.257,10.324,10.466,12.224
BL17,0.589,3.421,4.399,7.301,8.348,10.481,12.071,13.767,15.042,16.702,18.205,19.953,21.263,23.291,24.793,26.839
BL18,0.366,3.176,4.755,7.899,8.605,10.875,12.008,13.646,15.449,17.886,18.926,20.638,21.883,24.432,25.565,28.133
BL19,0.161,3.75,4.645,8.839,9.839,12.26,15.179,17.391,18.851,20.666,21.625,23.253,24.357,26.653,27.716,30.199
BL20,0.165,4.413,5.309,9.707,10.347,13.528,14.445,17.157,18.01,20.53,20.617,24.756,25.673,29.026,29.942,33.994
BL21,0.086,2.887,4.241,7.188,8.651,11.342,12.33,14.234,15.496,17.327,18.314,20.292,21.535,23.824,25.031,27.96
LA1001,0.813,5.11,6.103,9.434,10.351,12.688,12.688,14.445,15.766,17.65,18.527,20.749,21.79,23.626,24.522,26.589
LA1002,0.994,3.77,5.117,7.469,8.624,10.773,11.986,13.307,14.548,16.187,17.217,19.135,20.425,22.188,23.045,24.684
LA1003,1.006,4.256,5.362,8.363,10.442,12.771,13.805,15.637,16.712,18.606,19.547,21.659,22.652,24.587,25.496,27.474
LA1005,0,3.754,4.659,8.614,9.52,11.414,12.619,13.782,14.89,16.256,17.294,18.836,19.768,21.425,22.278,23.687
LA1009,0,4.166,5.062,9.495,10.392,12.738,13.803,15.397,17.169,19.503,20.961,22.903,23.934,26.325,27.951,29.825
LA2001,1.511,5.598,7.198,11.008,11.91,14.375,15.124,16.716,17.659,19.58,20.154,22.567,23.182,25.123,25.646,27.567
LA2004,0.425,2.911,5.649,8.63,9.401,13.119,13.95,16.702,17.847,20.466,21.419,24.17,26.028,29.25,30.021,33.099
LA2007,0.485,3.973,5.533,8.731,9.526,11.594,11.637,13.199,13.34,14.82,15.028,16.828,16.938,18.679,18.76,20.367
LA5003,1.078,3.81,4.264,7.638,9.323,12.21,12.851,14.796,15.685,17.362,18.271,20.983,21.861,24.252,25.058,27.479
LA7003,0.175,2.916,3.112,5.736,5.782,8.586,8.625,10.736,10.995,13.492,13.783,16.516,16.665,18.958,19.138,21.469
LA7004,0.041,4.544,5.311,8.587,9.109,11.42,11.522,13.185,13.564,15.329,15.652,17.413,17.702,19.76,19.965,21.708
LA7005,0.141,3.036,3.691,6.026,6.71,8.965,9.435,10.894,11.445,13.295,13.736,15.938,16.262,18.17,18.743,20.615
LA7006,0.19,3.874,5.826,9.014,10.369,14.01,14.715,16.933,17.362,20.021,20.34,23.396,23.67,26.77,27.42,29.881
LA7007,0.243,2.357,3.191,5.123,5.431,7.617,7.7,9.342,9.553,11.194,11.544,13.131,13.342,14.965,15.182,16.581
LA7008,0.192,2.555,2.995,5.285,5.693,7.93,8.166,9.631,9.822,11.419,11.602,13.615,13.858,15.758,15.988,18.04
LA7009,0.112,2.625,3.099,5.28,5.993,8.965,9.047,10.907,11.294,12.257,,,,,12.81,14.88
LA7011,0.445,2.73,3.596,5.704,5.971,8.396,8.502,10.497,10.799,12.583,13.089,15.078,15.479,17.467,17.79,19.337
LA7012,0.797,5.017,16.91,21.057,31.618,33.621,34.093,35.695,36.453,38.209,38.835,40.872,41.707,43.573,44.144,46.12
LA8001,0.856,3.842,11.942,14.658,22.424,24.741,25.43,27.12,28.175,30.302,30.999,32.846,34.042,35.968,36.355,38.282
LA8002,0.794,3.673,13.002,15.438,24.427,26.371,27.293,29.231,30.308,31.967,32.857,34.534,35.199,37.474,38.439,40.397
LA9002,0.722,4.175,5.614,8.746,9.752,11.904,12.458,13.968,14.67,16.311,17.385,19.043,19.649,21.428,21.852,23.666
LA9003,0.335,3.376,6.512,9.467,11.385,13.504,13.993,15.651,16.199,18.034,18.66,20.779,21.406,23.397,24.122,26.084
LA9004,0.469,3.626,3.71,6.936,7.127,9.089,9.87,11.288,12.107,13.633,14.398,16.153,16.934,18.666,19.447,21.021
LA9006,2.37,5.415,17.427,20.234,31.8,34,34.588,35.948,36.641,38.446,39.383,41.461,42.017,43.747,44.486,46.302
LA9007,1.072,4.193,15.605,18.792,28.841,31.645,32.836,34.247,34.696,36.444,37.423,39.234,39.676,41.65,42.223,44.153
LA9008,1.085,4.238,13.018,15.951,25.619,28.036,29.378,30.982,32.068,33.763,34.695,36.44,36.785,38.754,39.207,41.547
LA9009,1.85,4.747,13.405,16.036,24.405,26.345,26.872,28.075,29.327,30.738,31.891,33.457,34.529,36.101,37.162,38.697
LA9010,0.632,3.308,4.965,8.326,9.717,12.404,12.922,14.946,15.918,17.908,19.255,21.489,22.637,25.181,26.329,28.64
LA9011,0.872,3.811,5.431,7.944,8.458,10.486,11.553,12.879,14.352,15.975,17.339,19.209,20.493,22.452,23.757,25.192
LA9012,1.619,4.416,6.665,9.388,11.463,14.497,15.577,17.791,19.12,21.371,22.314,24.727,25.683,28.158,29.064,31.24
LA9013,0.884,3.426,7.282,9.729,11.88,14.692,15.902,17.361,18.724,20.301,21.347,23.371,24.546,26.51,27.497,29.403
LA9014,1.056,3.58,6.681,9.008,11.438,13.58,15.176,16.682,18.197,20.247,21.669,23.534,25.107,26.694,28.22,29.819
LA9015,1.864,4.968,6.784,9.866,12.004,13.756,15.184,16.504,18.298,19.829,21.534,23.242,24.903,26.4,27.707,29.16
LA9016,1.127,3.56,6.463,8.788,10.791,13.042,14.048,15.667,16.662,18.184,19.191,21.056,22.062,23.97,24.944,26.594
LA9017,1.949,4.497,6.402,8.9,11.06,13.241,14.942,16.431,17.551,19.152,20.079,21.792,22.841,24.452,25.5,26.959
LA9018,1.369,3.945,7.568,10.168,12.705,14.976,16.476,17.819,19.904,21.577,23.443,25.14,26.835,28.374,30.057,31.583
LA9019,1.894,5.054,6.092,9.056,10.881,13.101,14.324,16.009,17.517,19.027,20.349,22.361,23.508,25.597,26.799,28.757
LA9020,0,2.437,3.406,5.63,6.971,9.151,9.784,11.061,11.709,13.285,13.954,15.523,16.083,17.731,18.248,19.722
LA9021,0,2.377,3.296,5.517,6.463,8.399,8.926,10.219,11.01,12.594,13.1,14.556,14.86,16.397,16.822,18.129
LA9022,0,2.793,3.714,6.73,7.692,9.633,10.554,11.71,12.744,14.06,14.925,16.433,17.411,19.152,20.049,21.413
LA9023,0,2.63,3.585,6.059,7.015,9.062,9.62,10.828,11.452,12.94,13.403,15.295,15.794,17.473,17.907,19.747
LA9024,0,2.356,3.315,6.098,7.041,8.776,9.447,10.599,11.247,12.591,13.203,14.716,15.741,17.816,18.56,19.845
LA9025,0,2.693,3.603,5.955,6.906,9.275,9.705,11.196,11.973,13.762,14.556,16.411,17.495,19.359,20.575,22.298
LA9026,0,3.187,4.146,7.419,8.387,10.047,10.999,11.929,12.905,14.025,14.985,16.376,17.336,19.004,19.98,21.14
